# # x_m,y_m,w_tr_right_m,w_tr_left_m
-1.813353216786993016e+02,8.053986286885691470e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813386543859397761e+02,7.953878061861126980e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813418847171332118e+02,7.853502433938831473e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813450131340368898e+02,7.752862720589121182e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813480400984080347e+02,7.651962239282312339e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813509660720039278e+02,7.550804307488738232e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813537915165818504e+02,7.449392242678675302e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813565168938990837e+02,7.347729362322451152e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813591426657128807e+02,7.245818983890382015e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813616692937804942e+02,7.143664424852767070e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813640972398591771e+02,7.041269002679916866e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813664269657062391e+02,6.938636034842176059e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813686589330788763e+02,6.835768838809826775e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813707936037344268e+02,6.732670732053179563e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813728314394301435e+02,6.629345032042550656e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813747729019232793e+02,6.525795056248239234e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813766184529711154e+02,6.422024122140607005e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813783685543308479e+02,6.318035547189907675e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813800236677598150e+02,6.213832648866485897e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813815842550152979e+02,6.109418744640635168e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813830507778545211e+02,6.004797151982677406e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813844236980347659e+02,5.899971188362917474e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813857034773132568e+02,5.794944171251688658e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813868905774473035e+02,5.689719418119284455e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813879854601941588e+02,5.584300246436015414e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813889885873111325e+02,5.478689973672186397e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813899004205554775e+02,5.372891917298119324e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813907214216843613e+02,5.266909394784141796e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813914520524551790e+02,5.160745723600541623e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813920927746250982e+02,5.054404221217646409e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813926440499514570e+02,4.947888205105749648e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813931063401914798e+02,4.841200992735184627e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813934801071024481e+02,4.734345901576233473e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813937658124416430e+02,4.627326249099246525e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813939639179662890e+02,4.520145352774517278e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813940748854336675e+02,4.412806530072350597e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813940991766011166e+02,4.305313098463062715e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813940372532258039e+02,4.197668375416952813e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813938895770650106e+02,4.089875678404371229e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813936566098760181e+02,3.981938324895600090e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813933388134161078e+02,3.873859632360955629e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813929366494425608e+02,3.765642918270731343e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813924505797126017e+02,3.657291500095283254e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813918810659835401e+02,3.548808695304882121e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813912285700125722e+02,3.440197821369866915e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813904935535570075e+02,3.331462195760531131e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813896764783741560e+02,3.222605135947202371e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813887778062211851e+02,3.113629959400174130e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813877979988554898e+02,3.004539983589762642e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813867375180342094e+02,2.895338525986289824e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813855968255146536e+02,2.786028904060071909e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813843763830541320e+02,2.676614435281413762e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813830766524098408e+02,2.567098437120608878e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813816980953391180e+02,2.457484227047996228e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813802411735991882e+02,2.347775122533863623e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813787063489473041e+02,2.237974441048550034e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813770940831407756e+02,2.128085500062348956e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813754048379367987e+02,2.018111617045576622e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813738027487312081e+02,1.918064441291369349e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813721377687315908e+02,1.817952299687436835e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813704102448629385e+02,1.717777684698330631e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813686205240504137e+02,1.617543088788607974e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813667689532190082e+02,1.517251004422809046e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813648558792938275e+02,1.416903924065468345e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813628816491999487e+02,1.316504340181154475e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813608466098624206e+02,1.216054745234401935e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813587511082063202e+02,1.115557631689756590e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813565954911567246e+02,1.015015492011769993e+01,6.000000000000000000e+00,6.000000000000000000e+00
-1.813543801056387110e+02,9.144308186649766412e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813521052985772997e+02,8.138061041139508234e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813497714168975676e+02,7.131438408232156689e+00,6.000000000000000000e+00,6.000000000000000000e+00
-1.813473788075246489e+02,6.124465212573227291e+00,6.000000000000000000e+00,6.000000000000000000e+00
