# 77f718bf-d42d-4fbb-80b3-2a61efc168fe
# 332a698e6a87fd9b915172ae773568e2e79a23de
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.2107159; 0.2583596; -1.8287550; 0.8791319; 1.8472838; -0.0021328
0.1999987; 0.4078439; 0.2240083; -1.6605045; 0.8013561; 1.8470529; 0.2639580
0.3999973; 0.6074390; 0.2216580; -1.5062627; 0.7511668; 1.8754164; 0.3558078
0.5999960; 0.8052061; 0.2492027; -1.3597559; 0.7154955; 1.9129843; 0.3793506
0.7999947; 0.9971651; 0.3047592; -1.2191199; 0.6938003; 1.9522418; 0.3533730
0.9999934; 1.1795105; 0.3863531; -1.0811804; 0.6873118; 1.9881138; 0.2808633
1.1999920; 1.3490183; 0.4922072; -0.9442019; 0.6748171; 2.0161699; 0.2543678
1.3999907; 1.5028585; 0.6197688; -0.8144630; 0.6257149; 2.0412465; 0.3902373
1.5999894; 1.6396254; 0.7656186; -0.6936568; 0.5797885; 2.0791299; 0.4909994
1.7999881; 1.7585609; 0.9263210; -0.5819913; 0.5379936; 2.1258363; 0.5658855
1.9999867; 1.8595313; 1.0988530; -0.4782374; 0.5003633; 2.1784243; 0.6225436
2.1999854; 1.9427549; 1.2806403; -0.3815200; 0.4673732; 2.2348486; 0.6625605
2.3999841; 2.0086326; 1.4694128; -0.2909506; 0.4390544; 2.2933754; 0.6874752
2.5999828; 2.0576925; 1.6632291; -0.2057362; 0.4135896; 2.3525643; 0.7075049
2.7999814; 2.0905655; 1.8604541; -0.1253526; 0.3905287; 2.4119617; 0.7244400
2.9999801; 2.1079414; 2.0596354; -0.0493654; 0.3699587; 2.4713019; 0.7367217
3.1999788; 2.1105408; 2.2595773; 0.0227467; 0.3514111; 2.5302213; 0.7462580
3.3999775; 2.0990648; 2.4591653; 0.0917143; 0.3388506; 2.5885365; 0.7253363
3.5999761; 2.0740930; 2.6575410; 0.1584127; 0.3293793; 2.6439844; 0.6930541
3.7999748; 2.0360912; 2.8539260; 0.2236693; 0.3231865; 2.6958994; 0.6465793
3.9999735; 1.9855129; 3.0473146; 0.2877871; 0.3184430; 2.7434474; 0.5985339
4.1999722; 1.9227042; 3.2371588; 0.3511213; 0.3152061; 2.7867392; 0.5472823
4.3999708; 1.8480302; 3.4227257; 0.4139853; 0.3134815; 2.8257436; 0.4919142
4.5999695; 1.7619154; 3.6031525; 0.4766317; 0.3133638; 2.8603481; 0.4310717
4.7999682; 1.6646398; 3.7778772; 0.5394079; 0.3145584; 2.8903320; 0.3669517
4.9999668; 1.5565520; 3.9461579; 0.6025629; 0.3156011; 2.9156129; 0.3118255
5.1999655; 1.4381411; 4.1072977; 0.6645005; 0.3040860; 2.9369249; 0.3717065
5.3999642; 1.3102561; 4.2609692; 0.7219328; 0.2565462; 2.9621292; 0.7435260
5.5999629; 1.1746287; 4.4079440; 0.7663094; 0.1891173; 3.0119127; 1.2787300
5.7999615; 1.0335343; 4.5496099; 0.7986070; 0.1339877; 3.0956593; 1.7099922
5.9999602; 0.8886724; 4.6874413; 0.8203066; 0.0850237; 3.2042314; 1.7935831
6.1999589; 0.7413844; 4.8228783; 0.8327533; 0.0391325; 3.3142914; 0.7153143
6.3999576; 0.5931212; 4.9570946; 0.8358372; -0.0082221; 3.3571791; -2.4360142
6.5999562; 0.4450320; 5.0915965; 0.8294745; -0.0554008; 3.2087773; -2.0314731
6.7999549; 0.2984589; 5.2277174; 0.8136546; -0.1027508; 3.0795565; -1.6794493
6.9999536; 0.1547192; 5.3668184; 0.7883487; -0.1504851; 2.9684833; -1.3691934
7.1999523; 0.0151643; 5.5102521; 0.7534613; -0.1979584; 2.8747555; -1.0755012
7.3999509; -0.1184598; 5.6589480; 0.7090466; -0.2462841; 2.7989322; -0.7814251
7.5999496; -0.2446507; 5.8141071; 0.6549062; -0.2955912; 2.7425269; -0.5304090
7.7999483; -0.3615604; 5.9765647; 0.5912655; -0.3384951; 2.7035701; -0.2784173
7.9999470; -0.4669934; 6.1462238; 0.5194272; -0.3787316; 2.6828949; -0.0724680
8.1999456; -0.5593757; 6.3234475; 0.4406087; -0.4089884; 2.6774873; -0.0044795
8.3999443; -0.6369891; 6.5074042; 0.3576275; -0.4185766; 2.6771527; -0.0044795
8.5999430; -0.6990711; 6.6974176; 0.2743630; -0.4046904; 2.6768180; 0.0957713
8.7999417; -0.7456761; 6.8920815; 0.1966807; -0.3727803; 2.6839640; 0.3101140
8.9999403; -0.7775471; 7.0893257; 0.1244406; -0.3506622; 2.7069739; 0.4258701
9.1999390; -0.7955345; 7.2884818; 0.0564097; -0.3295544; 2.7382576; 0.5242968
9.3999377; -0.8003585; 7.4885732; -0.0075410; -0.3097770; 2.7762874; 0.6074923
9.5999363; -0.7927937; 7.6882568; -0.0675764; -0.2913754; 2.8197105; 0.6783728
9.7999350; -0.7735886; 7.8873534; -0.1242001; -0.2748159; 2.8674230; 0.7352936
9.9999337; -0.7434582; 8.0851527; -0.1776144; -0.2592958; 2.9182580; 0.7864546
10.1999324; -0.7031487; 8.2809592; -0.2279419; -0.2443542; 2.9716678; 0.8366352
10.3999310; -0.6532914; 8.4746692; -0.2754145; -0.2302066; 3.0274513; 0.8843219
10.5999297; -0.5945722; 8.6658627; -0.3200820; -0.2165981; 3.0853181; 0.9322122
10.7999284; -0.5276302; 8.8543211; -0.3621014; -0.2036538; 3.1451662; 0.9792597
10.9999271; -0.4530702; 9.0398972; -0.4015021; -0.1895519; 3.2068320; 1.0442647
11.1999257; -0.3715422; 9.2224936; -0.4378460; -0.1739705; 3.2713109; 1.1315710
11.3999244; -0.2837133; 9.4021995; -0.4706930; -0.1544194; 3.3397755; 1.2706188
11.5999231; -0.1903858; 9.5790886; -0.4996288; -0.1348613; 3.4150175; 1.4199123
11.7999218; -0.0923437; 9.7533591; -0.5246229; -0.1151298; 3.4971854; 1.5842837
11.9999204; 0.0097254; 9.9253988; -0.5456463; -0.0950493; 3.5866440; 1.7692440
12.1999191; 0.1150237; 10.0954295; -0.5626553; -0.0751201; 3.6839799; 1.7915177
12.3999178; 0.2228412; 10.2638234; -0.5756914; -0.0552495; 3.7799881; 1.7910698
12.5999165; 0.3326139; 10.4310161; -0.5860255; -0.0481389; 3.8735944; 1.7906220
12.7999151; 0.4439782; 10.5971181; -0.5950633; -0.0434856; 3.9649688; 1.7901744
12.9999138; 0.5568003; 10.7622636; -0.6035443; -0.0412951; 4.0542622; 1.7897268
13.1999125; 0.6709548; 10.9264767; -0.6111945; -0.0352080; 4.1416094; 1.7892794
13.3999112; 0.7862712; 11.0898935; -0.6176315; -0.0292031; 4.2271309; 1.7888321
13.5999098; 0.9025339; 11.2526251; -0.6228824; -0.0234027; 4.3109353; 1.7883849
13.7999085; 1.0195979; 11.4148204; -0.6274116; -0.0218871; 4.3931211; 1.7879378
13.9999072; 1.1373252; 11.5764543; -0.6313868; -0.0156237; 4.4737773; 1.7874908
14.1999058; 1.2555716; 11.7377507; -0.6334540; -0.0047519; 4.5529852; 1.7870440
14.3999045; 1.3739095; 11.8989325; -0.6325335; 0.0139404; 4.6308193; -0.5232577
14.5999032; 1.4918398; 12.0604848; -0.6281457; 0.0277207; 4.6081651; -2.2496403
14.7999019; 1.6088808; 12.2226904; -0.6216287; 0.0375243; 4.5094718; -2.0576469
14.9999005; 1.7246664; 12.3857375; -0.6129839; 0.0489204; 4.4172709; -1.8870979
15.1998992; 1.8388577; 12.5499171; -0.6020836; 0.0599562; 4.3309870; -1.7337543
15.3998979; 1.9510952; 12.7154878; -0.5890116; 0.0707229; 4.2501707; -1.5972750
15.5998966; 2.0609494; 12.8825797; -0.5738282; 0.0811255; 4.1743317; -1.4720822
15.7998952; 2.1680891; 13.0514477; -0.5565737; 0.0913769; 4.1031959; -1.3560224
15.9998939; 2.2721465; 13.2222812; -0.5372797; 0.1015208; 4.0365593; -1.2478538
16.1998926; 2.3726810; 13.3951338; -0.5159753; 0.1115577; 3.9742512; -1.1422154
16.3998913; 2.4693548; 13.5702238; -0.4926515; 0.1217497; 3.9163490; -1.0351409
16.5998899; 2.5617415; 13.7476275; -0.4672491; 0.1322850; 3.8631252; -0.9299469
16.7998886; 2.6493857; 13.9273781; -0.4397345; 0.1428795; 3.8146769; -0.8640083
16.9998873; 2.7318573; 14.1095438; -0.4102399; 0.1509817; 3.7691058; -0.8339299
17.1998860; 2.8088186; 14.2941734; -0.3794444; 0.1567653; 3.7245924; -0.8331653
17.3998846; 2.8799500; 14.4810639; -0.3478063; 0.1597609; 3.6795822; -0.8452860
17.5998833; 2.9450935; 14.6701960; -0.3154771; 0.1637008; 3.6333473; -0.8405989
17.7998820; 3.0039896; 14.8612989; -0.2822704; 0.1684762; 3.5867779; -0.8383361
17.9998807; 3.0564362; 15.0543522; -0.2481075; 0.1731490; 3.5397236; -0.8344406
18.1998793; 3.1021588; 15.2490838; -0.2129664; 0.1781900; 3.4922585; -0.8282889
18.3998780; 3.1408865; 15.4451857; -0.1768077; 0.1836669; 3.4444965; -0.8274684
18.5998767; 3.1724307; 15.6428011; -0.1396245; 0.1880192; 3.3961111; -0.8375541
18.7998753; 3.1965069; 15.8413591; -0.1015627; 0.1923894; 3.3464237; -0.8511354
18.9998740; 3.2129140; 16.0405225; -0.0626774; 0.1968714; 3.2951630; -0.8682122
19.1998727; 3.2214757; 16.2404570; -0.0227329; 0.2023228; 3.2420390; -0.8198876
19.3998714; 3.2219263; 16.4403992; 0.0186487; 0.2147212; 3.1910600; -0.6957414
19.5998700; 3.2137915; 16.6401196; 0.0633661; 0.2332710; 3.1471526; -0.4571490
19.7998687; 3.1962829; 16.8393487; 0.1129114; 0.2621891; 3.1179658; -0.2353274
19.9998674; 3.1683685; 17.0373562; 0.1680378; 0.2877867; 3.1028343; -0.0323801
20.1998661; 3.1291103; 17.2334239; 0.2279706; 0.3092817; 3.1007465; -0.0112204
20.3998647; 3.0778984; 17.4267391; 0.2900383; 0.3116277; 3.1000227; -0.0110214
20.5998634; 3.0147456; 17.6165017; 0.3524870; 0.3116246; 3.0993115; -0.0113161
20.7998621; 2.9399120; 17.8019140; 0.4147117; 0.3108142; 3.0985812; -0.0213572
20.9998608; 2.8536855; 17.9823563; 0.4768487; 0.3107577; 3.0972024; -0.0244017
21.1998594; 2.7564074; 18.1571064; 0.5390582; 0.3111362; 3.0956263; -0.0221226
21.3998581; 2.6484833; 18.3254117; 0.6013525; 0.3116612; 3.0941967; -0.0219197
21.5998568; 2.5302680; 18.4866939; 0.6636842; 0.3119675; 3.0927795; -0.0157898
21.7998555; 2.4021904; 18.6403296; 0.7261854; 0.3128145; 3.0917583; -0.0104572
21.9998541; 2.2648183; 18.7855893; 0.7888378; 0.3135093; 3.0910818; -0.0059702
22.1998528; 2.1186144; 18.9219584; 0.8515576; 0.3140573; 3.0906955; -0.0059702
22.3998515; 1.9640989; 19.0489433; 0.9140796; 0.3104016; 3.0903091; 0.0296928
22.5998502; 1.8020965; 19.1660266; 0.9758388; 0.3094038; 3.0922302; -0.0137971
22.7998488; 1.6330797; 19.2729146; 1.0380283; 0.3122615; 3.0913377; -0.0099286
22.9998475; 1.4577930; 19.3690203; 1.1005704; 0.3136429; 3.0906953; -0.0059688
23.1998462; 1.2767849; 19.4539690; 1.1634487; 0.3141358; 3.0903090; -0.0059688
23.3998448; 1.0907314; 19.5274147; 1.2261381; 0.3125375; 3.0899227; 0.0100424
23.5998435; 0.9005759; 19.5890565; 1.2884513; 0.3110666; 3.0905726; 0.0228339
23.7998422; 0.7068977; 19.6387690; 1.3506388; 0.3110863; 3.0920499; 0.0156319
23.9998409; 0.5104253; 19.6763515; 1.4129905; 0.3122587; 3.0930609; -0.0059779
24.1998395; 0.3120844; 19.7015865; 1.4755482; 0.3136555; 3.0926743; -0.0059779
24.3998382; 0.1125402; 19.7143452; 1.5383131; 0.3132453; 3.0922877; -0.0013039
24.5998369; -0.0874704; 19.7145813; 1.6008916; 0.3121328; 3.0922034; 0.0094967
24.7998356; -0.2870589; 19.7023461; 1.6630825; 0.3100311; 3.0928175; 0.0284127
24.9998342; -0.4854989; 19.6777670; 1.7249142; 0.3082747; 3.0946543; 0.0417033
25.1998329; -0.6820846; 19.6409957; 1.7864756; 0.3072952; 3.0973483; 0.0459476
25.3998316; -0.8760178; 19.5922221; 1.8478804; 0.3069773; 3.1003138; 0.0433431
25.5998303; -1.0665898; 19.5316417; 1.9092802; 0.3070347; 3.1031085; -0.0161960
25.7998289; -1.2530940; 19.4594721; 1.9707633; 0.3074903; 3.1020645; -0.0466295
25.9998276; -1.4347988; 19.3759817; 2.0322627; 0.3077393; 3.0990567; -0.0501375
26.1998263; -1.6110394; 19.2814653; 2.0938552; 0.3081658; 3.0958194; -0.0454355
26.3998250; -1.7811104; 19.1762752; 2.1556161; 0.3094885; 3.0928827; -0.0271054
26.5998236; -1.9443305; 19.0607754; 2.2177119; 0.3117573; 3.0911295; -0.0146020
26.7998223; -2.1000819; 18.9353008; 2.2802267; 0.3132570; 3.0901846; -0.0059668
26.9998210; -2.2476429; 18.8003411; 2.3430540; 0.3142396; 3.0897984; -0.0059668
27.1998197; -2.3864041; 18.6564159; 2.4058678; 0.3143072; 3.0894121; -0.0058605
27.3998183; -2.5159878; 18.5040336; 2.4673606; 0.2995684; 3.0890327; 0.1355173
27.5998170; -2.6361616; 18.3442390; 2.5255592; 0.2801518; 3.0977943; 0.3055730
27.7998157; -2.7472036; 18.1779813; 2.5791001; 0.2554097; 3.1174602; 0.5117122
27.9998143; -2.8495274; 18.0062065; 2.6293115; 0.2466694; 3.1501177; 0.5460377
28.1998130; -2.9432478; 17.8296078; 2.6778508; 0.2400668; 3.1845966; 0.5589872
28.3998117; -3.0284328; 17.6486006; 2.7254634; 0.2355518; 3.2195106; 0.5519690
28.5998104; -3.1049785; 17.4639147; 2.7715714; 0.2257911; 3.2536187; 0.6031518
28.7998090; -3.1731267; 17.2759131; 2.8157839; 0.2162649; 3.2904854; 0.6516688
28.9998077; -3.2331025; 17.0850678; 2.8581068; 0.2068105; 3.3298588; 0.6999635
29.1998064; -3.2851124; 16.8920007; 2.8984675; 0.1969587; 3.3716381; 0.7538798
29.3998051; -3.3294835; 16.6970117; 2.9369106; 0.1875355; 3.4160640; 0.8042627
29.5998037; -3.3665212; 16.5004349; 2.9735112; 0.1784533; 3.4628306; 0.8526368
29.7998024; -3.3965094; 16.3027270; 3.0083192; 0.1697181; 3.5117301; 0.8992870
29.9998011; -3.4197709; 16.1041091; 3.0414141; 0.1612978; 3.5625779; 0.9448815
30.1997998; -3.4366172; 15.9047926; 3.0728587; 0.1531312; 3.6152332; 0.9904201
30.3997984; -3.4473489; 15.7050996; 3.1026826; 0.1451628; 3.6696153; 1.0368101
30.5997971; -3.4522790; 15.5051794; 3.1309317; 0.1373590; 3.7256943; 1.0846720
30.7997958; -3.4517149; 15.3051601; -3.1255459; 0.1296992; 3.7834724; 1.1344534
30.9997945; -3.4459635; 15.1052540; -3.1003673; 0.1221202; 3.8429731; 1.1872443
31.1997931; -3.4353317; 14.9055479; -3.0766938; 0.1146246; 3.9042716; 1.2432122
31.3997918; -3.4201225; 14.7061149; -3.0545088; 0.1072078; 3.9674448; 1.3026452
31.5997905; -3.4006428; 14.5070724; -3.0338114; 0.0997830; 4.0325765; 1.3671981
31.7997892; -3.3771944; 14.3084546; -3.0145903; 0.0924422; 4.0998230; 1.4356751
31.9997878; -3.3500763; 14.1102950; -2.9968281; 0.0851433; 4.1692703; 1.5091050
32.1997865; -3.3195899; 13.9126347; -2.9805436; 0.0777098; 4.2410438; 1.5910349
32.3997852; -3.2860349; 13.7154695; -2.9657465; 0.0702424; 4.3154215; 1.6802455
32.5997838; -3.2497139; 13.5187981; -2.9524469; 0.0627597; 4.3926024; 1.7769951
32.7997825; -3.2109267; 13.3225957; -2.9406398; 0.0553154; 4.4727787; 1.7874964
32.9997812; -3.1699689; 13.1268238; -2.9303189; 0.0478875; 4.5520043; 1.7870495
33.1997799; -3.1271418; 12.9314706; -2.9214844; 0.0404526; 4.6298551; 1.7866028
33.3997785; -3.0827341; 12.7364629; -2.9141411; 0.0329790; 4.7063993; 1.7861561
33.5997772; -3.0370370; 12.5417372; -2.9082813; 0.0256521; 4.7816998; 1.7857096
33.7997759; -2.9903483; 12.3472769; -2.9038759; 0.0185191; 4.8558142; 1.7852632
33.9997746; -2.9429351; 12.1529794; -2.9008401; 0.0118352; 4.9287962; 1.7848169
34.1997732; -2.8950677; 11.9587830; -2.8993046; 0.0029951; 5.0006954; 1.7843707
34.3997719; -2.8470928; 11.7646490; -2.8996710; -0.0069456; 5.0715577; 1.7839246
34.5997706; -2.7993865; 11.5704276; -2.9021615; -0.0179598; 5.1414261; 1.7834786
34.7997693; -2.7523504; 11.3760445; -2.9062949; -0.0217595; 5.2103406; 1.7830327
34.9997679; -2.7061576; 11.1814500; -2.9107997; -0.0228106; 5.2783386; 1.7825870
35.1997666; -2.6608481; 10.9866511; -2.9152999; -0.0221922; 5.3454549; 1.7821413
35.3997653; -2.6164031; 10.7916519; -2.9196699; -0.0214906; 5.4117224; 1.7816958
35.5997640; -2.5727971; 10.5964659; -2.9238953; -0.0207582; 5.4771720; 1.7812504
35.7997626; -2.5300017; 10.4011000; -2.9279722; -0.0200122; 5.5418326; 1.7808051
35.9997613; -2.4879876; 10.2055607; -2.9318969; -0.0192270; 5.6057315; 1.7803599
36.1997600; -2.4467266; 10.0098654; -2.9356625; -0.0184218; 5.6688945; 1.7799148
36.3997587; -2.4061870; 9.8140203; -2.9392641; -0.0175945; 5.7313460; 1.7794698
36.5997573; -2.3663353; 9.6180268; -2.9426980; -0.0167400; 5.7931088; 1.7790249
36.7997560; -2.3271412; 9.4219074; -2.9459597; -0.0158715; 5.8542049; 1.7785802
36.9997547; -2.2885703; 9.2256669; -2.9490454; -0.0149863; 5.9146549; 1.7781355
37.1997533; -2.2505855; 9.0293006; -2.9519527; -0.0140837; 5.9744784; 1.7776910
37.3997520; -2.2131557; 8.8328374; -2.9546787; -0.0131732; 6.0336940; 1.7772466
37.5997507; -2.1762444; 8.6362803; -2.9572213; -0.0122540; 6.0923195; 1.7768023
37.7997494; -2.1398121; 8.4396179; -2.9595798; -0.0113289; 6.1503718; 1.7763581
37.9997480; -2.1038276; 8.2428852; -2.9617529; -0.0104030; 6.2078670; 1.7759140
38.1997467; -2.0682535; 8.0460841; -2.9637409; -0.0094771; 6.2648203; 1.7754700
38.3997454; -2.0330492; 7.8491969; -2.9655446; -0.0085605; 6.3212464; -2.4101265
38.5997441; -1.9981844; 7.6522629; -2.9671653; -0.0076503; 6.2445266; -2.7259383
38.7997427; -1.9636223; 7.4552833; -2.9686050; -0.0067476; 6.1566017; -2.7678371
38.9997414; -1.9293227; 7.2582369; -2.9698677; -0.0058807; 6.0660215; -2.8065302
39.1997401; -1.8952571; 7.0611634; -2.9709574; -0.0050181; 5.9727725; -2.8432194
39.3997388; -1.8613905; 6.8640627; -2.9718750; -0.0041577; 5.8767960; -2.8779505
39.5997374; -1.8276856; 6.6669162; -2.9726319; -0.0034151; 5.7780238; -2.9068196
39.7997361; -1.7941170; 6.4697573; -2.9732386; -0.0026253; 5.6765164; -2.9355209
39.9997348; -1.7606526; 6.2725850; -2.9736792; -0.0017814; 5.5721305; -2.9640867
40.1997335; -1.7272596; 6.0753970; -2.9739787; -0.0012135; 5.4647060; -2.9801517
40.3997321; -1.6939170; 5.8782081; -2.9741993; -0.0013173; 5.3545269; -2.9605258
40.5997308; -1.6606235; 5.6809879; -2.9745359; -0.0020611; 5.2427814; -2.9318071
40.7997295; -1.6274185; 5.4837818; -2.9750636; -0.0032165; 5.1297214; -2.9096039
40.9997282; -1.5943378; 5.2865403; -2.9758140; -0.0042192; 5.0149982; -2.8927309
41.1997268; -1.5614201; 5.0892516; -2.9767457; -0.0050958; 4.8982775; -2.8781868
41.3997255; -1.5287084; 4.8919599; -2.9778510; -0.0059579; 4.7793154; -2.8665432
41.5997242; -1.4962298; 4.6946175; -2.9791262; -0.0067764; 4.6578156; -2.8575216
41.7997228; -1.4640161; 4.4972157; -2.9805602; -0.0075575; 4.5334584; -2.8512944
41.9997215; -1.4321043; 4.2997888; -2.9821444; -0.0082856; 4.4058750; -2.8473704
42.1997202; -1.4005183; 4.1023011; -2.9838722; -0.0089778; 4.2746689; -2.8453818
42.3997189; -1.3692852; 3.9047455; -2.9857347; -0.0096487; 4.1394020; -2.8446089
42.5997175; -1.3384359; 3.7071462; -2.9877334; -0.0103389; 3.9996016; -2.8445963
42.7997162; -1.3079949; 3.5094836; -2.9898599; -0.0108657; 3.8547350; -2.8478131
42.9997149; -1.2779802; 3.3117347; -2.9920765; -0.0113446; 3.7040335; -2.8529220
43.1997136; -1.2484171; 3.1139240; -2.9944295; -0.0121906; 3.5466467; -2.8539200
43.3997122; -1.2193119; 2.9160851; -2.9962449; -0.0020552; 3.3818845; -2.8067037
43.5997109; -1.1902850; 2.7182541; -2.9949567; 0.0193653; 3.2116146; -2.3625412
43.7997096; -1.1603690; 2.5206167; -2.9861300; 0.0686608; 3.0609571; -2.1170948
43.9997083; -1.1277954; 2.3234630; -2.9684346; 0.1042204; 2.9193537; -1.9555667
44.1997069; -1.0910486; 2.1266207; -2.9446436; 0.1355576; 2.7821583; -1.7256847
44.3997056; -1.0489790; 1.9311869; -2.9129614; 0.1813755; 2.6552091; -1.5009207
44.5997043; -0.9998054; 1.7372954; -2.8717289; 0.2330487; 2.5396399; -1.2929693
44.7997030; -0.9416228; 1.5458454; -2.8195309; 0.2883630; 2.4356902; -1.1281104
44.9997016; -0.8725601; 1.3582020; -2.7565291; 0.3421268; 2.3412274; -0.9973816
45.1997003; -0.7908003; 1.1756549; -2.6827320; 0.3946554; 2.2544169; -0.8825336
45.3996990; -0.6949380; 1.0002188; -2.5984659; 0.4483506; 2.1747148; -0.7955587
45.5996977; -0.5837057; 0.8339652; -2.5036793; 0.5003665; 2.1002769; -0.6829673
